"","city","area","time","weekday","芠代丁(LST)ObsTime","代溃(hPa)StnPres","キ溃(hPa)SeaPres","放()Temperature","臩翴放()Td dew point","癸访(%)RH","硉(m/s)WS","(程)(360degree)WD","程皚(m/s)WSGust","程皚(360degree)WDGust","秖(mm)Precp","计(hr)PrecpHour","ら酚计(hr)SunShine","ぱら甮秖(MJ/)GloblRad","ǎ(km)Visb"
"31","蔼动カ","467440_蔼动",2016-08-20 06:00:00,"Saturday",7,1005.4,1005.8,26.6,22.8,80,1.9,60,4.4,60,0,0,0.9,0.4,NA
"32","蔼动カ","467440_蔼动",2016-08-20 07:00:00,"Saturday",8,1005.7,1006,28.9,24.4,77,1.7,50,3.8,50,0,0,1,1.25,13
"33","蔼动カ","467440_蔼动",2016-08-20 08:00:00,"Saturday",9,1005.7,1006,30.7,25.1,72,1.1,90,3.8,30,0,0,1,2.1,12
"34","蔼动カ","467440_蔼动",2016-08-20 09:00:00,"Saturday",10,1005.6,1005.9,31,25.8,74,2.6,290,4.3,310,0,0,1,2.82,NA
"35","蔼动カ","467440_蔼动",2016-08-20 10:00:00,"Saturday",11,1005.3,1005.6,31.1,25.5,72,3.5,300,6.5,300,0,0,1,3.29,10
"36","蔼动カ","467440_蔼动",2016-08-20 11:00:00,"Saturday",12,1004.5,1004.8,32.2,26.3,71,4,310,7,310,0,0,1,3.6,NA
"37","蔼动カ","467440_蔼动",2016-08-20 12:00:00,"Saturday",13,1004.1,1004.4,32.2,26.8,73,3.9,310,7.5,310,0,0,1,3,NA
"38","蔼动カ","467440_蔼动",2016-08-20 13:00:00,"Saturday",14,1003.4,1003.7,32,27.1,75,3,310,7.4,300,0,0,1,2.4,10
"39","蔼动カ","467440_蔼动",2016-08-20 14:00:00,"Saturday",15,1002.6,1002.9,31.7,27,76,3.9,300,6.8,290,0,0,1,2.3,NA
"40","蔼动カ","467440_蔼动",2016-08-20 15:00:00,"Saturday",16,1002.4,1002.7,31.6,27.4,79,3,290,6.3,300,0,0,1,2.18,NA
"41","蔼动カ","467440_蔼动",2016-08-20 16:00:00,"Saturday",17,1002.1,1002.4,30.9,27,80,2.1,280,5.5,300,0,0,1,1.44,10
"42","蔼动カ","467440_蔼动",2016-08-20 17:00:00,"Saturday",18,1002.9,1003.2,30.6,26.3,78,2,290,3.9,270,0,0,0.9,0.66,NA
"43","蔼动カ","467440_蔼动",2016-08-20 18:00:00,"Saturday",19,1003.2,1003.5,29.9,26.1,80,1.3,310,3.7,290,0,0,0,0.01,NA
"44","蔼动カ","467440_蔼动",2016-08-20 19:00:00,"Saturday",20,1003.4,1003.7,29.9,25.9,79,1.2,330,2.7,290,0,0,NA,0,10
"45","蔼动カ","467440_蔼动",2016-08-20 20:00:00,"Saturday",21,1003.8,1004.1,28.7,25.4,82,1.4,70,3.8,80,0,0,NA,0,8
"46","蔼动カ","467440_蔼动",2016-08-20 21:00:00,"Saturday",22,1004.4,1004.7,28.3,25.1,83,1.4,80,3.4,30,0,0,NA,0,NA
"47","蔼动カ","467440_蔼动",2016-08-20 22:00:00,"Saturday",23,1004.2,1004.5,28.5,25,81,1.5,90,2.6,100,0,0,NA,0,NA
"48","蔼动カ","467440_蔼动",2016-08-20 23:00:00,"Saturday",24,1003.5,1003.8,28.6,24.9,80,0.9,70,3.9,60,0,0,NA,0,NA
"49","蔼动カ","467440_蔼动",2016-08-21 00:00:00,"Sunday",1,1003.2,1003.5,28.8,25,80,0.6,30,2.2,70,0,0,NA,0,NA
"50","蔼动カ","467440_蔼动",2016-08-21 01:00:00,"Sunday",2,1002.6,1002.9,28.3,24.1,78,1.1,80,3.3,60,0,0,NA,0,NA
"51","蔼动カ","467440_蔼动",2016-08-21 02:00:00,"Sunday",3,1002.5,1002.8,27.9,24.3,81,2,60,4.2,60,0,0,NA,0,NA
"52","蔼动カ","467440_蔼动",2016-08-21 03:00:00,"Sunday",4,1002.4,1002.8,27.4,24.2,83,2,70,3.7,70,0,0,NA,0,NA
"53","蔼动カ","467440_蔼动",2016-08-21 04:00:00,"Sunday",5,1002,1002.4,27.3,23.9,82,1.4,80,3.2,50,0,0,NA,0,10
"54","蔼动カ","467440_蔼动",2016-08-21 05:00:00,"Sunday",6,1002.4,1002.8,27.2,24.1,83,1.6,50,3.8,60,0,0,0,0,NA
"55","蔼动カ","467440_蔼动",2016-08-21 06:00:00,"Sunday",7,1003.3,1003.7,28,24.4,81,1.1,70,3.5,70,0,0,0.8,0.39,NA
"56","蔼动カ","467440_蔼动",2016-08-21 07:00:00,"Sunday",8,1003.4,1003.7,29.6,25.6,79,0.6,70,3.4,50,0,0,1,1.09,10
"57","蔼动カ","467440_蔼动",2016-08-21 08:00:00,"Sunday",9,1003.4,1003.7,30.6,25.6,75,1.1,240,2.4,250,0,0,1,1.93,10
"58","蔼动カ","467440_蔼动",2016-08-21 09:00:00,"Sunday",10,1003.8,1004.1,30.4,26.3,79,1.8,210,3.4,230,0,0,0.9,1.54,NA
"59","蔼动カ","467440_蔼动",2016-08-21 10:00:00,"Sunday",11,1003.5,1003.8,31.1,26.7,78,1.7,220,4.2,230,0,0,1,2.9,10
"60","蔼动カ","467440_蔼动",2016-08-21 11:00:00,"Sunday",12,1003.2,1003.5,31.7,26.7,75,2.4,250,5,270,0,0,1,2.87,NA
"61","蔼动カ","467440_蔼动",2016-08-21 12:00:00,"Sunday",13,1002.8,1003.1,31.9,26.8,75,2.2,230,5.4,290,0,0,1,3,NA
"62","蔼动カ","467440_蔼动",2016-08-21 13:00:00,"Sunday",14,1002.2,1002.5,32.7,27.3,73,2.2,270,5.3,230,0,0,1,2.49,10
"63","蔼动カ","467440_蔼动",2016-08-21 14:00:00,"Sunday",15,1001.9,1002.2,32.3,26.8,73,2.5,270,5.3,300,0,0,1,2.4,NA
"64","蔼动カ","467440_蔼动",2016-08-21 15:00:00,"Sunday",16,1001.7,1002,31.4,26.2,74,2.6,280,5.1,310,0,0,0.4,1.25,NA
"65","蔼动カ","467440_蔼动",2016-08-21 16:00:00,"Sunday",17,1002,1002.3,31.4,26.5,75,1.2,240,4.8,290,0,0,0.9,0.73,10
"66","蔼动カ","467440_蔼动",2016-08-21 17:00:00,"Sunday",18,1002.4,1002.7,30.6,25.4,74,2.2,300,4,280,0,0,0.3,0.22,NA
"67","蔼动カ","467440_蔼动",2016-08-21 18:00:00,"Sunday",19,1003,1003.3,30.4,25.9,77,1.1,320,3.6,340,0,0,0,0,NA
"68","蔼动カ","467440_蔼动",2016-08-21 19:00:00,"Sunday",20,1003.6,1003.9,28.8,25.3,81,2.9,70,6.9,60,0,0,NA,0,8
"69","蔼动カ","467440_蔼动",2016-08-21 20:00:00,"Sunday",21,1004.1,1004.4,28.6,24.8,80,1.8,60,5.4,60,0.5,0.2,NA,0,8
"70","蔼动カ","467440_蔼动",2016-08-21 21:00:00,"Sunday",22,1004.6,1004.9,28.2,25,83,1.9,80,4.4,60,0,0,NA,0,NA
"71","蔼动カ","467440_蔼动",2016-08-21 22:00:00,"Sunday",23,1004.3,1004.6,28.3,24.5,80,1.4,50,3.9,60,0,0,NA,0,NA
"72","蔼动カ","467440_蔼动",2016-08-21 23:00:00,"Sunday",24,1004.4,1004.8,28.2,24.8,82,1.4,60,3.4,80,0,0,NA,0,NA
"73","蔼动カ","467440_蔼动",2016-08-22 00:00:00,"Monday",1,1004,1004.3,28.1,24.7,82,1.8,50,4,80,0,0,NA,0,NA
"74","蔼动カ","467440_蔼动",2016-08-22 01:00:00,"Monday",2,1003.7,1004,28,24.6,82,2.4,60,3.5,60,0,0,NA,0,NA
"75","蔼动カ","467440_蔼动",2016-08-22 02:00:00,"Monday",3,1003.9,1004.2,27.9,24.9,84,1.2,60,2.8,40,0,0,NA,0,NA
"76","蔼动カ","467440_蔼动",2016-08-22 03:00:00,"Monday",4,1003.6,1003.9,27.8,24.6,83,1.4,90,2.6,50,0,0,NA,0,NA
"77","蔼动カ","467440_蔼动",2016-08-22 04:00:00,"Monday",5,1003.6,1003.9,28,24.6,82,1.7,30,3.2,40,0,0,NA,0,10
"78","蔼动カ","467440_蔼动",2016-08-22 05:00:00,"Monday",6,1004.1,1004.5,27.8,24.3,81,0.8,110,2.5,30,0,0,0,0,NA
"79","蔼动カ","467440_蔼动",2016-08-22 06:00:00,"Monday",7,1004.9,1005.2,29,25.1,80,0.9,60,2.4,70,0,0,0.5,0.45,NA
"80","蔼动カ","467440_蔼动",2016-08-22 07:00:00,"Monday",8,1004.9,1005.2,30.7,26.2,77,1.2,10,2.7,40,0,0,0.7,1,8
"81","蔼动カ","467440_蔼动",2016-08-22 08:00:00,"Monday",9,1004.8,1005.1,31.4,26.6,76,1.7,340,4.7,330,0,0,0.9,1.82,8
"82","蔼动カ","467440_蔼动",2016-08-22 09:00:00,"Monday",10,1004.6,1004.9,31.9,27.5,78,3,310,6.2,310,0,0,0.9,2.48,NA
"83","蔼动カ","467440_蔼动",2016-08-22 10:00:00,"Monday",11,1004.4,1004.7,32.7,27.6,75,2.7,310,5.9,310,0,0,0.8,2.73,8
"84","蔼动カ","467440_蔼动",2016-08-22 11:00:00,"Monday",12,1004,1004.3,31.5,26.6,75,3.5,320,6.2,290,0,0,0.3,1.69,NA
"85","蔼动カ","467440_蔼动",2016-08-22 12:00:00,"Monday",13,1003.8,1004.1,33.6,27.4,70,3.7,320,7.5,310,0,0,0.9,3.02,NA
"86","蔼动カ","467440_蔼动",2016-08-22 13:00:00,"Monday",14,1003.3,1003.6,33.1,27,70,3.6,320,7.7,310,0,0,0.9,2.57,10
"87","蔼动カ","467440_蔼动",2016-08-22 14:00:00,"Monday",15,1003.3,1003.6,32.7,26.8,71,4.3,320,7.2,290,0,0,1,2.4,NA
"88","蔼动カ","467440_蔼动",2016-08-22 15:00:00,"Monday",16,1003.3,1003.6,31.4,26.3,74,4.5,320,8.3,300,0,0,0.4,1.51,NA
"89","蔼动カ","467440_蔼动",2016-08-22 16:00:00,"Monday",17,1003.5,1003.8,30.1,26.5,81,2.8,310,5.9,340,0.5,0.5,0,0.18,7
"90","蔼动カ","467440_蔼动",2016-08-22 17:00:00,"Monday",18,1003.9,1004.2,30,26.3,81,2,320,5.7,330,NA,0.1,0,0,NA
"91","蔼动カ","467440_蔼动",2016-08-22 18:00:00,"Monday",19,1004.3,1004.6,29.4,25.3,79,1.9,360,4.2,350,0,0,0,0,NA
"92","蔼动カ","467440_蔼动",2016-08-22 19:00:00,"Monday",20,1004.4,1004.7,29.3,24.5,75,0.1,0,2.5,350,0,0,NA,0,10
"93","蔼动カ","467440_蔼动",2016-08-22 20:00:00,"Monday",21,1004.7,1005,29.4,24.5,75,0.1,0,1.6,30,0,0,NA,0,10
"94","蔼动カ","467440_蔼动",2016-08-22 21:00:00,"Monday",22,1004.7,1005,29.3,24.6,76,0.7,90,1.6,100,0,0,NA,0,NA
"95","蔼动カ","467440_蔼动",2016-08-22 22:00:00,"Monday",23,1004.8,1005.1,28.6,25.1,81,1.4,90,2.7,100,0,0,NA,0,NA
"96","蔼动カ","467440_蔼动",2016-08-22 23:00:00,"Monday",24,1004.5,1004.8,28.7,24.9,80,0.7,100,2.1,110,0,0,NA,0,NA
"97","蔼动カ","467440_蔼动",2016-08-23 00:00:00,"Tuesday",1,1004.3,1004.6,28.6,25,81,1.1,60,2.3,60,0,0,NA,0,NA
"98","蔼动カ","467440_蔼动",2016-08-23 01:00:00,"Tuesday",2,1004.3,1004.6,28.3,24.9,82,0.3,80,2.3,50,0,0,NA,0,NA
"99","蔼动カ","467440_蔼动",2016-08-23 02:00:00,"Tuesday",3,1004,1004.3,28.1,25.1,84,1,80,2.1,70,0,0,NA,0,NA
"100","蔼动カ","467440_蔼动",2016-08-23 03:00:00,"Tuesday",4,1004.1,1004.5,27.9,25.1,85,1.6,50,2.9,60,0,0,NA,0,NA
"101","蔼动カ","467440_蔼动",2016-08-23 04:00:00,"Tuesday",5,1004.3,1004.7,27.7,24.9,85,0.9,70,3.7,50,0,0,NA,0,5
"102","蔼动カ","467440_蔼动",2016-08-23 05:00:00,"Tuesday",6,1004.4,1004.8,27.7,24.7,84,1.3,80,2.4,50,0,0,0,0,NA
"103","蔼动カ","467440_蔼动",2016-08-23 06:00:00,"Tuesday",7,1004.6,1004.9,28.7,25.2,81,0.3,50,3,40,0,0,0.7,0.36,NA
"104","蔼动カ","467440_蔼动",2016-08-23 07:00:00,"Tuesday",8,1004.7,1005,30.2,26.7,82,0.7,360,2.3,60,0,0,1,1.1,6
"105","蔼动カ","467440_蔼动",2016-08-23 08:00:00,"Tuesday",9,1004.8,1005.1,31.2,27.2,79,1.9,310,3.8,340,0,0,0.6,1.35,7
"106","蔼动カ","467440_蔼动",2016-08-23 09:00:00,"Tuesday",10,1004.8,1005.1,31.7,27.6,79,2.6,310,5.7,290,0,0,1,2.51,NA
"107","蔼动カ","467440_蔼动",2016-08-23 10:00:00,"Tuesday",11,1004.6,1004.9,31.8,27.2,77,3.3,300,6.3,340,0,0,1,3.14,8
"108","蔼动カ","467440_蔼动",2016-08-23 11:00:00,"Tuesday",12,1004,1004.3,32.1,26.9,74,3.7,310,6.7,290,0,0,1,3.6,NA
"109","蔼动カ","467440_蔼动",2016-08-23 12:00:00,"Tuesday",13,1003.5,1003.8,32.2,26.2,71,2.9,290,6.8,300,0,0,1,3.14,NA
"110","蔼动カ","467440_蔼动",2016-08-23 13:00:00,"Tuesday",14,1002.9,1003.2,31.9,25.8,70,3.5,300,6.2,340,0,0,1,2.59,10
"111","蔼动カ","467440_蔼动",2016-08-23 14:00:00,"Tuesday",15,1002.7,1003,32,26.7,74,3.2,280,6.8,310,0,0,1,2.36,NA
"112","蔼动カ","467440_蔼动",2016-08-23 15:00:00,"Tuesday",16,1002.1,1002.4,31.5,27.1,78,2.3,300,5.7,290,0,0,1,1.8,NA
"113","蔼动カ","467440_蔼动",2016-08-23 16:00:00,"Tuesday",17,1002.1,1002.4,30.9,26.7,78,1.9,290,4.9,290,0,0,1,1.22,10
"114","蔼动カ","467440_蔼动",2016-08-23 17:00:00,"Tuesday",18,1002.4,1002.7,30.2,25.9,78,1.7,260,3.6,240,0,0,0.8,0.4,NA
"115","蔼动カ","467440_蔼动",2016-08-23 18:00:00,"Tuesday",19,1002.7,1003,29.9,25.2,76,1.7,240,3.1,300,0,0,0,0,NA
"116","蔼动カ","467440_蔼动",2016-08-23 19:00:00,"Tuesday",20,1003.1,1003.4,29.7,25.3,77,0.8,250,2.8,290,0,0,NA,0,10
"117","蔼动カ","467440_蔼动",2016-08-23 20:00:00,"Tuesday",21,1003.9,1004.2,29.5,25.4,79,1,250,2.7,300,0,0,NA,0,10
"118","蔼动カ","467440_蔼动",2016-08-23 21:00:00,"Tuesday",22,1003.9,1004.2,29.5,25.3,78,0.8,210,2.7,230,0,0,NA,0,NA
"119","蔼动カ","467440_蔼动",2016-08-23 22:00:00,"Tuesday",23,1003.7,1004,29.4,25.1,78,0.2,0,2,190,0,0,NA,0,NA
"120","蔼动カ","467440_蔼动",2016-08-23 23:00:00,"Tuesday",24,1003.3,1003.6,29.3,25.1,78,0.6,210,2.1,220,0,0,NA,0,NA
"121","蔼动カ","467440_蔼动",2016-08-24 00:00:00,"Wednesday",1,1003.1,1003.4,29.3,25.6,81,0.7,210,1.9,260,0,0,NA,0,NA
"122","蔼动カ","467440_蔼动",2016-08-24 01:00:00,"Wednesday",2,1002.9,1003.2,29.2,25.7,81,0.9,220,1.8,210,0,0,NA,0,NA
"123","蔼动カ","467440_蔼动",2016-08-24 02:00:00,"Wednesday",3,1002.7,1003,28.9,25.6,82,0.4,180,2.5,190,0,0,NA,0,NA
"124","蔼动カ","467440_蔼动",2016-08-24 03:00:00,"Wednesday",4,1002.5,1002.8,28.9,25.3,81,0.5,240,1.8,190,0,0,NA,0,NA
"125","蔼动カ","467440_蔼动",2016-08-24 04:00:00,"Wednesday",5,1002.5,1002.8,28.3,24.9,82,0.5,60,2.5,70,0,0,NA,0,7
"126","蔼动カ","467440_蔼动",2016-08-24 05:00:00,"Wednesday",6,1002.6,1002.9,28.4,24.4,79,0.9,90,2.7,50,0,0,0,0,NA
"127","蔼动カ","467440_蔼动",2016-08-24 06:00:00,"Wednesday",7,1003.3,1003.6,28.8,24.6,78,1.6,40,2.4,90,0,0,0.6,0.25,NA
"128","蔼动カ","467440_蔼动",2016-08-24 07:00:00,"Wednesday",8,1003.4,1003.7,30.2,25.7,77,0.9,330,2.3,290,0,0,1,0.98,8
"129","蔼动カ","467440_蔼动",2016-08-24 08:00:00,"Wednesday",9,1003.6,1003.9,31.2,26.3,75,1.9,310,4,290,0,0,1,1.83,8
"130","蔼动カ","467440_蔼动",2016-08-24 09:00:00,"Wednesday",10,1003.7,1004,31.4,26.4,75,2,280,4,300,0,0,1,2.62,NA
"131","蔼动カ","467440_蔼动",2016-08-24 10:00:00,"Wednesday",11,1003.4,1003.7,31.7,26.7,75,2.6,270,4.8,280,0,0,1,3.2,10
"132","蔼动カ","467440_蔼动",2016-08-24 11:00:00,"Wednesday",12,1003.2,1003.5,32,26.3,72,3.1,280,6,250,0,0,1,3.5,NA
"133","蔼动カ","467440_蔼动",2016-08-24 12:00:00,"Wednesday",13,1002.6,1002.9,32.2,26.2,71,3.4,280,6.4,270,0,0,1,3.23,NA
"134","蔼动カ","467440_蔼动",2016-08-24 13:00:00,"Wednesday",14,1002.3,1002.6,32.5,26.5,71,3.5,290,6.7,290,0,0,1,2.95,10
"135","蔼动カ","467440_蔼动",2016-08-24 14:00:00,"Wednesday",15,1002.3,1002.6,31.9,26,71,3.6,300,7.4,290,0,0,1,2.36,NA
"136","蔼动カ","467440_蔼动",2016-08-24 15:00:00,"Wednesday",16,1002.5,1002.8,32.1,26,70,2.5,270,7.1,300,0,0,1,1.79,NA
"137","蔼动カ","467440_蔼动",2016-08-24 16:00:00,"Wednesday",17,1002.3,1002.6,31.5,25.2,69,2,280,6.6,300,0,0,1,1.14,10
"138","蔼动カ","467440_蔼动",2016-08-24 17:00:00,"Wednesday",18,1002.6,1002.9,30.6,25.2,73,1.5,270,4.2,260,0,0,0.4,0.31,NA
"139","蔼动カ","467440_蔼动",2016-08-24 18:00:00,"Wednesday",19,1003.2,1003.5,30.5,24.8,72,1.4,280,3.5,300,0,0,0,0,NA
"140","蔼动カ","467440_蔼动",2016-08-24 19:00:00,"Wednesday",20,1004.1,1004.4,30.3,25.4,75,1.2,250,3.2,220,0,0,NA,0,10
"141","蔼动カ","467440_蔼动",2016-08-24 20:00:00,"Wednesday",21,1004.5,1004.8,30.1,25.5,76,1,290,3,240,0,0,NA,0,10
"142","蔼动カ","467440_蔼动",2016-08-24 21:00:00,"Wednesday",22,1004.5,1004.8,30,25.5,77,0.8,260,2.4,250,0,0,NA,0,NA
"143","蔼动カ","467440_蔼动",2016-08-24 22:00:00,"Wednesday",23,1004.2,1004.5,29.8,25.4,77,0.9,220,2.4,200,0,0,NA,0,NA
"144","蔼动カ","467440_蔼动",2016-08-24 23:00:00,"Wednesday",24,1003.6,1003.9,29.6,25.2,77,0.4,210,2.8,190,0,0,NA,0,NA
"145","蔼动カ","467440_蔼动",2016-08-25 00:00:00,"Thursday",1,1002.7,1003,29.4,25.3,79,0.3,250,2.2,180,0,0,NA,0,NA
"146","蔼动カ","467440_蔼动",2016-08-25 01:00:00,"Thursday",2,1002.5,1002.8,29.3,25.3,79,0.9,290,1.8,300,0,0,NA,0,NA
"147","蔼动カ","467440_蔼动",2016-08-25 02:00:00,"Thursday",3,1002.4,1002.7,29.3,25.4,80,0.7,270,2.1,300,0,0,NA,0,NA
"148","蔼动カ","467440_蔼动",2016-08-25 03:00:00,"Thursday",4,1002.7,1003,29.3,25,78,0.8,290,2.3,300,0,0,NA,0,NA
"149","蔼动カ","467440_蔼动",2016-08-25 04:00:00,"Thursday",5,1003.1,1003.4,29.5,25.3,78,1.3,280,2.5,290,0,0,NA,0,8
"150","蔼动カ","467440_蔼动",2016-08-25 05:00:00,"Thursday",6,1003.4,1003.7,28.7,24.5,78,1.3,90,2.9,70,0,0,0,0,NA
"151","蔼动カ","467440_蔼动",2016-08-25 06:00:00,"Thursday",7,1004.1,1004.4,28.9,24.7,78,1.2,70,2.7,70,0,0,0,0,NA
"152","蔼动カ","467440_蔼动",2016-08-25 07:00:00,"Thursday",8,1004.6,1004.9,29.9,25.8,79,1.3,190,2.4,200,0,0,0.1,0.57,5
"153","蔼动カ","467440_蔼动",2016-08-25 08:00:00,"Thursday",9,1005.1,1005.4,29.8,25.6,78,1.4,240,3.7,190,0,0,0.2,0.63,6
"154","蔼动カ","467440_蔼动",2016-08-25 09:00:00,"Thursday",10,1005.3,1005.6,30.6,26.6,79,2.2,270,5.3,270,0,0,0.5,1.85,NA
"155","蔼动カ","467440_蔼动",2016-08-25 10:00:00,"Thursday",11,1005,1005.3,32,25.4,68,2.2,250,6.4,260,0,0,0.8,2.86,10
"156","蔼动カ","467440_蔼动",2016-08-25 11:00:00,"Thursday",12,1004.6,1004.9,31.9,26.3,72,2.3,250,6.1,240,0,0,0.6,2.76,NA
"157","蔼动カ","467440_蔼动",2016-08-25 12:00:00,"Thursday",13,1003.8,1004.1,31.9,27.2,76,3.2,280,5.6,270,0,0,1,3.06,NA
"158","蔼动カ","467440_蔼动",2016-08-25 13:00:00,"Thursday",14,1002.9,1003.2,32.2,27.4,76,2.8,300,5.8,300,0,0,1,2.9,8
"159","蔼动カ","467440_蔼动",2016-08-25 14:00:00,"Thursday",15,1002.4,1002.7,31.8,27,76,3.3,300,5.8,290,0,0,1,2.46,NA
"160","蔼动カ","467440_蔼动",2016-08-25 15:00:00,"Thursday",16,1002,1002.3,31.3,26.9,78,3.3,300,6,300,0,0,1,1.8,NA
"161","蔼动カ","467440_蔼动",2016-08-25 16:00:00,"Thursday",17,1002,1002.3,30.9,26.5,77,3.1,320,6.1,290,0,0,1,1.11,8
"162","蔼动カ","467440_蔼动",2016-08-25 17:00:00,"Thursday",18,1002.2,1002.5,30.2,26,78,1.9,320,5.4,310,0,0,0.6,0.38,NA
"163","蔼动カ","467440_蔼动",2016-08-25 18:00:00,"Thursday",19,1002.7,1003,29.8,25.7,79,1.9,310,4,330,0,0,0,0,NA
"164","蔼动カ","467440_蔼动",2016-08-25 19:00:00,"Thursday",20,1003.4,1003.7,29.6,25.6,79,0.9,270,3.1,300,0,0,NA,0,6
"165","蔼动カ","467440_蔼动",2016-08-25 20:00:00,"Thursday",21,1004,1004.3,29.6,25.6,79,0.9,260,2.7,240,0,0,NA,0,6
